Row,Counterfactual__phi_1e_4_,Baseline__phi_0_03_,CoreSweep__phi_0_20_
"Bank net worth Nb",0.497319220092932,0.51264895687724,0.621586860213653
"Bank leverage lev",6,6,6
"Sovereign spread (raw, ann. bps)",85.0768711231598,85.0768711231598,85.0768711231598
"Bank sovereign-bond holdings QbB",0.000298391532055759,0.0922768122379031,0.745904232256383
"Entrepreneur premium E[R^K]/R^S",1.00498987996233,1.00498987996233,1.00498987996233
"Bank margin R^S/R^d",1.002,1.002,1.002
"Output y",0.70098525094731,0.70098525094731,0.70098525094731
"Consumption c",0.534376400538172,0.534376400538172,0.534376400538172
"Investment i",0.166608850409138,0.166608850409138,0.166608850409138
