Variable,Mean,Std,Skewness,Kurtosis
Output,0.734928039300093,0.0421109224510456,0.610513810378664,5.6138356303402
Consumption,0.553570610435868,0.033665536894657,-1.25113349444729,7.36211276123273
Sovereign spread,0.017195369495502,0.0275891569313924,3.33387677591692,22.7540366574754
Bank net worth,0.562064453307933,0.0542223129147575,-0.746695960585285,5.45391214325196
Bank leverage,7.78049711567547,1.13238636692211,1.23989823218581,6.35707200713238
